name,Predicted Points,position,team,value,total_points
Jarell Quansah,38.679035,DEF,Liverpool,4.0,49
Neco Williams,37.886982,DEF,Nott'm Forest,4.3,39
Igor Julio dos Santos de Paulo,37.17345,DEF,Brighton,4.3,37
Jack Robinson,36.7684,DEF,Sheffield Utd,4.4,33
Issa Kaboré,35.93438,DEF,Luton,4.0,34
Anel Ahmedhodžić,35.8576,DEF,Sheffield Utd,4.3,31
Konstantinos Mavropanos,34.961796,DEF,West Ham,4.5,40
Matt Doherty,34.13906,DEF,Wolves,4.3,41
Ben Davies,32.320953,DEF,Spurs,4.3,34
Lewis Hall,31.472916,DEF,Newcastle,4.3,38
Nathan Patterson,30.287052,DEF,Everton,4.4,34
Ben Godfrey,30.192175,DEF,Everton,4.3,37
Max Aarons,30.084026,DEF,Bournemouth,4.5,28
Emil Krafth,29.981213,DEF,Newcastle,4.4,33
Moussa Niakhaté,29.829159,DEF,Nott'm Forest,4.5,29
Lorenz Assignon,29.715376,DEF,Burnley,4.0,25
Emerson Leite de Souza Junior,29.377926,DEF,Spurs,4.4,27
Jordan Beyer,28.744932,DEF,Burnley,4.0,30
Clément Lenglet,28.446037,DEF,Aston Villa,4.5,24
Luke Shaw,28.4045,DEF,Man Utd,5.2,31
Adam Webster,28.213005,DEF,Brighton,4.3,26
Tom Lockyer,27.399689,DEF,Luton,4.3,23
Tariq Lamptey,27.111576,DEF,Brighton,3.9,31
Ben Chilwell,25.855879,DEF,Chelsea,5.5,24
Mathias Jorgensen,24.978456,DEF,Brentford,4.3,29
Hugo Bueno López,23.707397,DEF,Wolves,4.4,29
Seamus Coleman,23.619362,DEF,Everton,4.4,30
Kenny Tete,23.521742,DEF,Fulham,4.4,27
Serge Aurier,23.521074,DEF,Nott'm Forest,4.5,27
Gonzalo Montiel,22.681705,DEF,Nott'm Forest,4.4,28
Maxime Esteve,21.924503,DEF,Burnley,4.0,15
George Baldock,19.8715,DEF,Sheffield Utd,3.9,21
Joel Matip,19.868954,DEF,Liverpool,4.9,21
Ameen Al-Dakhil,17.721594,DEF,Burnley,4.0,19
Reece James,17.05634,DEF,Chelsea,5.4,11
Chris Mepham,16.684029,DEF,Bournemouth,4.3,16
Connor Roberts,16.196909,DEF,Burnley,4.4,12
Aaron Hickey,15.627072,DEF,Brentford,4.5,17
Lisandro Martínez,15.201157,DEF,Man Utd,4.8,15
Michael Keane,14.44132,DEF,Everton,4.4,18
Rico Henry,14.00228,DEF,Brentford,4.6,13
Santiago Bueno,13.560765,DEF,Wolves,4.5,13
Angelo Ogbonna,13.064605,DEF,West Ham,4.3,19
Ben Johnson,12.196575,DEF,West Ham,4.4,17
Luke Thomas,12.164872,DEF,Sheffield Utd,4.0,7
Joe Worrall,11.9463415,DEF,Nott'm Forest,4.5,13
Andrew Omobamidele,11.783991,DEF,Nott'm Forest,4.5,11
Radu Dragusin,11.490977,DEF,Spurs,4.3,14
Scott McKenna,11.199769,DEF,Nott'm Forest,4.5,12
Mads Juel Andersen,11.176759,DEF,Luton,4.0,15
Hjalmar Ekdal,10.265933,DEF,Burnley,3.9,15
Max Lowe,9.9192,DEF,Sheffield Utd,4.3,13
Felipe Augusto de Almeida Monteiro,9.803264,DEF,Nott'm Forest,4.4,8
Hannes Delcroix,9.616231,DEF,Burnley,4.0,7
Ryan Giles,9.614116,DEF,Luton,4.4,11
Mason Holgate,9.575337,DEF,Sheffield Utd,4.0,1
Nuno Varela Tavares,9.211577,DEF,Nott'm Forest,4.0,11
Aaron Cresswell,9.060235,DEF,West Ham,4.2,10
Daiki Hashioka,8.318948,DEF,Luton,4.0,4
Yasser Larouci,8.087676,DEF,Sheffield Utd,4.4,10
John Egan,7.854756,DEF,Sheffield Utd,4.5,1
Chris Basham,7.7496614,DEF,Sheffield Utd,4.0,8
Valentín Barco,7.3258457,DEF,Brighton,4.0,5
Willy Kambwala,7.252755,DEF,Man Utd,3.9,5
