name,Predicted Points,position,team,value,total_points
Alisson Ramses Becker,165.07132,GK,Liverpool,5.4,162
David Raya Martin,163.47102,GK,Brentford,4.7,166
Kieran Trippier,203.46292,DEF,Newcastle,5.8,198
Trent Alexander-Arnold,155.23877,DEF,Liverpool,7.4,156
Gabriel dos Santos Magalhães,138.75429,DEF,Arsenal,5.2,146
Benjamin White,136.7921,DEF,Arsenal,4.7,156
Pervis Estupiñán,124.30946,DEF,Brighton,4.7,128
Mohamed Salah,242.32051,MID,Liverpool,12.9,239
Martin Ødegaard,216.38928,MID,Arsenal,6.7,212
Bukayo Saka,208.856,MID,Arsenal,8.2,202
Bruno Borges Fernandes,202.09503,MID,Man Utd,9.7,176
Gabriel Martinelli Silva,197.1529,MID,Arsenal,6.6,198
Erling Haaland,309.2632,FWD,Man City,12.1,272
Harry Kane,294.37387,FWD,Spurs,11.6,263
Ivan Toney,193.31491,FWD,Brentford,7.5,182
