name,Predicted Points,position,team,value,total_points
Amadou Onana,39.926846,MID,Everton,4.7,44
Jarrod Bowen,39.81387,MID,West Ham,7.7,43
Luis Sinisterra,39.71152,MID,Bournemouth,5.5,43
Jack Hinshelwood,39.613354,MID,Brighton,4.5,42
Jean-Ricner Bellegarde,39.33789,MID,Wolves,4.9,45
Alex Scott,38.850643,MID,Bournemouth,4.9,41
Giovani Lo Celso,38.835148,MID,Spurs,4.8,46
Anthony Gordon,38.517773,MID,Newcastle,6.1,37
Frank Onyeka,38.146637,MID,Brentford,4.9,39
Jorge Luiz Frello Filho,37.908344,MID,Arsenal,5.3,35
Rodrigo Bentancur,37.894077,MID,Spurs,5.4,32
Jordan Clark,37.10093,MID,Luton,4.8,44
Mikkel Damsgaard,36.942116,MID,Brentford,4.8,43
Carlos Henrique Casimiro,36.30561,MID,Man Utd,5.3,37
Jóhann Berg Gudmundsson,36.264957,MID,Burnley,4.8,41
Philip Billing,35.832703,MID,Bournemouth,5.2,32
Ryan Yates,35.581024,MID,Nott'm Forest,4.8,42
Son Heung-min,35.462177,MID,Spurs,9.6,37
Diogo Teixeira da Silva,35.085224,MID,Liverpool,7.7,34
Antony Matheus dos Santos,35.007565,MID,Man Utd,6.8,39
Bobby De Cordova-Reid,34.892094,MID,Fulham,5.3,33
James Maddison,34.693787,MID,Spurs,7.9,33
Pedro Lomba Neto,34.567524,MID,Wolves,5.5,35
Christian Nørgaard,34.338337,MID,Brentford,5.5,33
Alejandro Garnacho,33.946117,MID,Man Utd,4.7,34
Oscar Bobb,33.741505,MID,Man City,4.4,30
Carlos Baleba,33.59647,MID,Brighton,4.5,34
Pape Matar Sarr,33.254044,MID,Spurs,4.5,33
Kevin De Bruyne,32.86249,MID,Man City,10.6,27
Saša Lukić,32.3886,MID,Fulham,4.3,29
Tommy Doyle,32.23786,MID,Wolves,4.4,38
Adama Traoré,31.62591,MID,Fulham,4.9,33
Richarlison de Andrade,30.380013,MID,Spurs,6.8,30
Mateo Kovačić,30.15171,MID,Man City,4.6,26
Fábio Ferreira Vieira,28.919205,MID,Arsenal,5.4,24
Cole Palmer,27.769712,MID,Chelsea,5.8,27
Miguel Almirón Rejala,27.707727,MID,Newcastle,6.2,31
Adam Lallana,27.301964,MID,Brighton,4.9,29
Sander Berge,26.681627,MID,Burnley,4.8,27
Jacob Ramsey,26.33465,MID,Aston Villa,5.9,29
Emile Smith Rowe,26.307724,MID,Arsenal,5.3,25
Ibrahim Sangaré,26.183956,MID,Nott'm Forest,5.0,18
